Location,Price,Total_Area,Price_per_SQFT,Baths,Balcony,BHK,State,Year,District,Temperature (°C),Condition,Humidity (%),Wind Speed (km/h),Disaster
"Shanti Park, Mira Road East,Mumbai",22000000.0,1604,13710.0,3,Yes,3.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Subhash Nagar, Bhandup West,Mumbai",13700000.000000002,830,16510.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Salasar park apartment,Manevale Pada, Nalasopara East,Mumbai",3800000.0,590,6440.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Vakola, Santacruz East,Mumbai",30000000.0,858,34970.0,3,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Yogi Nagar, Borivali West,Mumbai",10000000.0,430,23250.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"New Tilak Nagar chembur ,Indira Nagar, Chembur,Mumbai",16500000.0,850,19410.0,3,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Kutir kashyap,Chandansar, Mumbai",2200000.0,450,4890.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Montana ,Azad Nagar, Andheri West,Mumbai",10500000.0,380,27630.0,1,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Marukh,Shapur Baug, Girgaon,Mumbai",40000000.0,1400,28570.0,3,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Ketkipada, Dahisar East,Mumbai",8200000.0,650,12620.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Mahavir apartment,Samarth Nagar, Sion,Mumbai",25100000.0,995,25230.0,3,Yes,3.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Four Bungalows, Andheri West,Mumbai",13500000.0,600,22500.0,2,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Y K Nagar, Virar West,Mumbai",7000000.0,969,7220.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Versova, Andheri West,Mumbai",8500000.0,460,18480.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Bane Compound, Tardeo,Mumbai",24000000.0,570,42100.0,2,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Triveni Nagar, Malad East,Mumbai",10800000.0,675,16000.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Pandurang Wadi, Goregaon East,Mumbai",8000000.0,450,17780.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"P&T Staff Colony, Mulund West,Mumbai",11000000.0,440,25000.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Sai Arpan CHS,RCF Colony, Chembur,Mumbai",9000000.0,565,15930.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Sankalp Colony, Malad East,Mumbai",40000000.0,1800,22220.0,3,Yes,4.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Naigaon, Dadar East,Mumbai",17500000.0,545,32110.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Golani Naka, Vasai East,Mumbai",3300000.0,590,5590.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Mahindra Park Cooperative Society,Siddharth Nagar, Ghatkopar West,Mumbai",14500000.0,721,20110.0,2,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Tata Power Residential Colony, Borivali East,Mumbai",11500000.0,431,26680.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Shree The Nest CHS,Bhayandar West, Mumbai",5830000.0,530,11000.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Chandivali, Powai,Mumbai",20500000.0,720,28470.0,2,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Jay Prakash Nagar, Goregaon East,Mumbai",11000000.0,525,20950.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Shree Co Op Housing Society,Prabhadevi, Mumbai",14000000.0,450,31110.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Naigaon East, Mumbai",4800000.0,905,5300.0,3,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Kandivali West, Mumbai",9000000.0,650,13850.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Borivali West, Mumbai",11000000.0,520,21150.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Aarey Colony, Goregaon East,Mumbai",3500000.0,344,10170.0,1,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Tanvi Eminence,Chandan Shanti, Mira Road East,Mumbai",11000000.0,1017,10820.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Marol, Andheri East,Mumbai",15000000.0,875,17140.0,3,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Ekvira Prasad ,RCF Colony, Chembur,Mumbai",11000000.0,585,18800.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"suvida appartment,Siddharth Nagar, Ghatkopar West,Mumbai",29900000.000000004,1200,24920.0,3,No,3.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Shree Rahul  Apartment,Hawai Pada, Nalasopara East,Mumbai",3200000.0,475,6740.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Sagar City ,Ashok Nagar, Andheri East,Mumbai",14500000.0,751,19310.0,2,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Irfan ,Agripada, Mumbai",27000000.0,600,45000.0,2,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Motilal Nagar II, Goregaon West,Mumbai",15000000.0,830,18070.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Evershine Nagar, Malad West,Mumbai",21500000.0,850,25290.0,3,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Nehru Nagar, Kurla East,Mumbai",9500000.0,600,15830.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Sunder Nagar, Malad West,Mumbai",7300000.0,300,24330.0,1,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Shravan Nagar, Kandivali West,Mumbai",40000000.0,1300,30770.0,3,No,3.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Kalina, Santacruz East,Mumbai",10000000.0,510,19610.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Cuffe Parade, Mumbai",65000000.0,1250,52000.0,3,No,3.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Lokhandwala Complex, Andheri West,Mumbai",26000000.0,1200,21670.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Mhatre Wadi, Dahisar West,Mumbai",8000000.0,460,17390.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Railway Colony, Santacruz West,Mumbai",30000000.0,1050,28570.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Malad East, Mumbai",17500000.0,920,19020.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Natraj ,Versova, Andheri West,Mumbai",15000000.0,650,23080.0,2,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"NP thakkar road ,Chhatrapati Shivaji International Airport Area, Vile Parle East,Mumbai",26500000.0,900,29440.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Sahdev CHS,Nl Complex, Dahisar East,Mumbai",7600000.0,500,15200.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Chandan Nagar, Vikhroli West,Mumbai",19000000.0,770,24680.0,2,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Shri Nagar, Goregaon West,Mumbai",32500000.0,1350,24070.0,3,No,3.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Vaishali Nagar, Dahisar East,Mumbai",9500000.0,510,18630.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Ghartan Pada, Dahisar East,Mumbai",8000000.0,370,21620.0,1,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Aaradhya Park,Ghartan Pada, Dahisar East,Mumbai",14000000.0,668,20960.0,2,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Majas Wadi, Jogeshwari East,Mumbai",11000000.0,545,20180.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Worli, Mumbai",21000000.0,410,51220.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Asmita Orchid 2,Navghar Naka, Bhayandar East,Mumbai",7500000.0,585,12820.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Sindhu Wadi, Ghatkopar East,Mumbai",7700000.0,400,19250.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Rayani Gram, Borivali West,Mumbai",12000000.0,545,22020.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Oneme,Naigaon, Dadar East,Mumbai",32000000.0,1400,22860.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Chandivali, Powai,Mumbai",25100000.0,910,27580.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Gokul Garden VWX, Kandivali East,Mumbai",7500000.0,450,16670.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Malviya Nagar, Tardeo,Mumbai",22500000.0,875,25710.0,3,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Navjeevan Colony, Mahim,Mumbai",12000000.0,325,36920.0,1,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Skyview chs marol Andheri East,Marol, Andheri East,Mumbai",8900000.0,475,18740.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Raheja Township, Malad East,Mumbai",10500000.0,550,19090.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Anand Nagar, Dahisar East,Mumbai",7500000.0,500,15000.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Indira Nagar, Chembur,Mumbai",44000000.0,1800,24440.0,3,Yes,3.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Parijaat complex,Chandansar, Mumbai",1600000.0,390,4100.0,1,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Agashi, Virar West,Mumbai",4500000.0,575,7830.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Charkop Industrial Estate, Kandivali West,Mumbai",8000000.0,400,20000.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Morya Nagar, Nalasopara West,Mumbai",3000000.0,575,5220.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Oberoi Park View ,Thakur Village, Kandivali East,Mumbai",28500000.0,1085,26270.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Shramik CHS,Tilak Nagar, Chembur,Mumbai",11500000.0,500,23000.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Oscar ,Azad Nagar, Andheri West,Mumbai",20000000.0,549,36430.0,2,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Sion East, Sion,Mumbai",19500000.0,987,19760.0,3,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Chandrakant Dhuru Wadi, Dadar West,Mumbai",30000000.0,834,35970.0,3,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Tilak Nagar, Goregaon West,Mumbai",8400000.0,600,14000.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Rajhans Kshitij IRIS CHS,Sandor, Vasai West,Mumbai",4500000.0,630,7140.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Galassia ,Dahisar West, Mumbai",21000000.0,1055,19910.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Versova, Andheri West,Mumbai",65000000.0,1750,37140.0,3,Yes,3.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"On request ,Tilak Nagar, Goregaon West,Mumbai",22500000.0,1400,16070.0,3,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Kalina, Santacruz East,Mumbai",9000000.0,550,16360.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Godrej Tranquil,Lokhandwala Township, Kandivali East,Mumbai",13000000.0,428,30370.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Kulupwadi, Borivali East,Mumbai",30000000.0,1550,19350.0,3,No,3.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Tilak Nagar, Chembur,Mumbai",11500000.0,550,20910.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Acropolis,Global City, Virar West,Mumbai",5600000.0,830,6750.0,3,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Shree Riddhi siddhi Co Op Housng Society,Manevale Pada, Nalasopara East,Mumbai",3200000.0,650,4920.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Deendayal Nagar, Mulund East,Mumbai",14000000.0,850,16470.0,3,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Rajiv Gandhi Nagar, Vikhroli East,Mumbai",8000000.0,500,16000.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Diamond Industrial Estate, Dahisar East,Mumbai",14000000.0,852,16430.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Grantroad ,Ambewadi, Girgaon,Mumbai",65000000.0,2000,32500.0,2,Yes,4.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Modipark hemukala road no 3 ,Bhagat Colony, Kandivali West,Mumbai",6900000.0,475,14530.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Sonam Sai CHS,Navghar Naka, Bhayandar East,Mumbai",5500000.0,500,11000.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"MULUND PRIM ROSE TOWER,Mulund West, Mumbai",18500000.0,900,20550.0,3,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Sambhavnath heights ,Agashi, Virar West,Mumbai",6000000.0,760,7890.0,2,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Brahmnwada, Matunga East,Mumbai",18500000.0,780,23720.0,2,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Ashish Apt,Sonapur, Marine Lines,Mumbai",12000000.0,500,24000.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Bhagat Colony, Kandivali West,Mumbai",7500000.0,505,14850.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Chinmay chs gorai,Gorai 3, Borivali West,Mumbai",8400000.0,550,15270.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Miragaon, Mira Road East,Mumbai",5500000.0,418,13160.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Shree Darshan C H S Ltd,Wadala West, Wadala,Mumbai",9000000.0,360,25000.0,1,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Milan Nagar, Kurla East,Mumbai",15500000.0,940,16490.0,3,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Nirmal Lifestyle ,Hira Nagar, Mulund West,Mumbai",24500000.0,1100,22270.0,3,Yes,3.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
" Gautam Co operative Housing Society,Kulupwadi, Borivali East,Mumbai",7000000.0,480,14580.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Khetan co operative housing society ltd,Malvani, Malad West,Mumbai",7000000.0,233,30040.0,1,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Indira Nagar, Ghatkopar West,Mumbai",6000000.0,480,12500.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"on req,Sathi D Souza Nagar, Sakinaka,Mumbai",18000000.0,1491,12070.0,3,Yes,3.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Mahim West, Mahim,Mumbai",32500000.0,780,41670.0,2,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Ramabai Ambedkar Nagar, Powai,Mumbai",16500000.0,861,19160.0,3,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Chandivali, Powai,Mumbai",23500000.0,935,25130.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Chirag Nagar, Ghatkopar West,Mumbai",7500000.0,520,14420.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Dalal Estate, Kamathipura,Mumbai",11500000.0,500,23000.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"SolitaireHousing,Sarvodaya Nagar, Bhandup West,Mumbai",16500000.0,1040,15870.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Evershine Nagar, Malad West,Mumbai",6800000.0,450,15110.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Shahaji raje marg,Chhatrapati Shivaji International Airport Area, Vile Parle East,Mumbai",15500000.0,550,28180.0,2,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Morya Nagar, Nalasopara West,Mumbai",4000000.0,675,5920.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Liberty Garden, Malad West,Mumbai",16000000.0,750,21330.0,2,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Worli Sea Face, Worli,Mumbai",47500000.0,1200,39580.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Bolinj, Virar West,Mumbai",6500000.0,924,7030.0,3,No,3.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Kohinoor Mill, Dadar East,Mumbai",14300000.0,600,23750.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Sai Nagar, Vasai West,Mumbai",5800000.0,1000,5800.0,3,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Chandrakant Dhuru Wadi, Dadar West,Mumbai",46000000.0,1400,32860.0,3,No,4.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Navneeth Colony, Andheri West,Mumbai",13000000.0,750,17330.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Evershine Nagar, Malad West,Mumbai",8000000.0,490,16329.999999999998,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Beverly Park, Mira Road East,Mumbai",6500000.0,510,12740.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Naupada, Bandra East,Mumbai",9500000.0,350,27140.0,1,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Miniland ,Tembhipada, Bhandup West,Mumbai",26000000.0,1650,15760.0,3,Yes,3.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Asha Nagar, Kandivali East,Mumbai",15000000.0,865,17340.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Jari Mari, Sakinaka,Mumbai",6000000.0,660,9090.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Shanti niketan society ,Rajawadi Colony, Ghatkopar East,Mumbai",5500000.0,250,22000.0,1,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Naigaon West, Mumbai",3500000.0,600,5830.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Gaurav Excellency 1,Ghodbander Village, Ghodbander,Mumbai",6700000.0,1074,6240.0,3,No,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Sakinaka, Mumbai",20000000.0,1500,13330.0,3,Yes,3.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Prince Plaza,Miragaon, Mira Road East,Mumbai",4700000.0,650,7230.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Navneeth Colony, Andheri West,Mumbai",9000000.0,580,15520.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"C S R Complex, Dahisar East,Mumbai",6500000.0,600,10830.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Chandansar, Mumbai",2100000.0,450,4670.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Vidya Vihar West, Kurla West,Mumbai",5500000.0,320,17190.0,1,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Sauda Heights ,Dongri, Umerkhadi,Mumbai",12500000.0,485,25770.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Chandmal Nagar ,Geeta Nagar, Bhayandar West,Mumbai",4500000.0,375,12000.0,1,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Shastri Nagar, Andheri West,Mumbai",12000000.0,520,23080.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Sai Niwas Dham,Oswal Nagari, Nalasopara East,Mumbai",1500000.0,350,4290.0,1,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Mulund East, Mumbai",15700000.0,870,18050.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Mulund West, Mumbai",7800000.0,450,17330.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Range Heights,Patliputra, Andheri West,Mumbai",7000000.0,380,18420.0,1,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Beverly Park, Mira Road East,Mumbai",6500000.0,600,10830.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Deva Appartment Virar West,Global City, Virar West,Mumbai",2400000.0,430,5580.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Vakola, Santacruz East,Mumbai",6000000.0,400,15000.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Siddhi Krupa apartment ,Rawal Nagar, Bhayandar East,Mumbai",4900000.0,520,9420.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Anmol Heights,Kurar Village, Malad East,Mumbai",8800000.0,610,14430.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Global City, Virar West,Mumbai",2751000.0,690,3990.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Chhatrapati Shivaji Terminus Area, Fort,Mumbai",32500000.0,1200,27080.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Pavitra Dham Society,Naigaon East, Mumbai",2100000.0,315,6670.0,1,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Chandansar, Mumbai",2500000.0,520,4810.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Singh Agri Estate, Kandivali East,Mumbai",11000000.0,550,20000.0,2,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Lotus residency goregaon west,Tilak Nagar, Goregaon West,Mumbai",8400000.0,615,13660.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Global City, Virar West,Mumbai",4500000.0,715,6290.0,2,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Ready hai lotus,Tilak Nagar, Goregaon West,Mumbai",8400000.0,430,19530.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"New Suresh CHS,RTO Colony, Mumbai Central,Mumbai",20500000.0,1070,19160.0,3,Yes,2.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Amrut Nagar, Ghatkopar West,Mumbai",27000000.0,1360,19850.0,3,No,3.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Global City, Virar West,Mumbai",1600000.0,400,4000.0,2,No,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Chandan Shanti, Mira Road East,Mumbai",6800000.0,695,9780.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
"Mira Road West, Mumbai",6500000.0,605,10740.0,2,Yes,1.0,Maharashtra,2000,Ahmednagar,22.8,Clear,27,9.0,landslide
