Location,Price,Total_Area,Price_per_SQFT,Baths,Balcony,BHK,State,Year,District,Temperature (°C),Condition,Humidity (%),Wind Speed (km/h),Disaster
"million arces,Guduvancheri, Chennai",4000000.0,600,6670.0,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Nagarjuna Nagar, Kodambakkam,Chennai",4000000.0,635,6300.0,2,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"BRICS CONSTRUCTION,Vaishnavi Nagar, Thirumullaivoyal,Chennai",3778000.0,810,4660.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kadambathur, Chennai",3000000.0,800,3750.0,1,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Oragadam Sriperambattur, Chennai",7500000.0,3000,2500.0,2,Yes,6.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Padur, Chennai",6000000.0,1100,5450.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Mevalurkuppam, Chennai",2600000.0,759,3420.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Prem Nagar, Pozhichalur,Chennai",22500000.0,3400,6620.0,5,Yes,5.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Jagannathapuram, Chetpet,Chennai",9000000.0,1400,6430.0,3,No,5.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"MM Sai Paradise Apartment ,Guduvancheri, Chennai",4800000.0,850,5650.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"SATYA,MGR Nagar, Mangadu,Chennai",4900000.0,600,8170.0,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
" Palace Gardens,Gandhi Nagar, Oragadam Ambattur,Chennai",11000000.0,2256,4880.0,4,Yes,5.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
